State,Category,Group,Value
NSW,Outbuildings,Destroyed,5263
NSW,Outbuildings,Damaged,1915
NSW,Homes,Destroyed,2399
NSW,Homes,Damaged,945
NSW,Facilities,Destroyed,263
NSW,Facilities,Damaged,194
VIC,Outbuildings,Destroyed,2010
VIC,Outbuildings,Damaged,1206
VIC,Homes,Destroyed,396
VIC,Homes,Damaged,100
VIC,Facilities,Destroyed,12
VIC,Facilities,Damaged,29
QLD,Outbuildings,Destroyed,256
QLD,Outbuildings,Damaged,157
QLD,Homes,Destroyed,48
QLD,Homes,Damaged,10
QLD,Facilities,Destroyed,12
QLD,Facilities,Damaged,4
SA,Outbuildings,Destroyed,396
SA,Outbuildings,Damaged,108
SA,Homes,Destroyed,151
SA,Homes,Damaged,35
SA,Facilities,Destroyed,39
SA,Facilities,Damaged,12
WA,Outbuildings,Destroyed,37
WA,Outbuildings,Damaged,14
WA,Homes,Destroyed,1
WA,Homes,Damaged,3
WA,Facilities,Destroyed,5
WA,Facilities,Damaged,3
ACT,Outbuildings,Destroyed,60
ACT,Outbuildings,Damaged,24
ACT,Homes,Destroyed,0
ACT,Homes,Damaged,0
ACT,Facilities,Destroyed,0
ACT,Facilities,Damaged,0
TAS,Outbuildings,Destroyed,26
TAS,Outbuildings,Damaged,15
TAS,Homes,Destroyed,2
TAS,Homes,Damaged,0
TAS,Facilities,Destroyed,0
TAS,Facilities,Damaged,0
NT,Outbuildings,Destroyed,124
NT,Outbuildings,Damaged,67
NT,Homes,Destroyed,5
NT,Homes,Damaged,3
NT,Facilities,Destroyed,0
NT,Facilities,Damaged,0
